,Case Number,Project Names,Amount,Date,Beneficiaries,Beneficiary type,Number of donations,Partner,Location,Details URL
849,P47879,وجبات إفطار الصائمين,"119,538ر.س",07/04/2024,458,المواطنون,"7,024",جمعية البر الخيرية بمركز شثاث,الشبحة,https://ehsan.sa/projects/0/46880?amount=null
850,P48141,كفالة مرضى الفشل الكلوي,"132,480ر.س",07/04/2024,3,المقيمون بالمملكة,"4,429",جمعية الكوثر الصحية بعسير,أبها,https://ehsan.sa/projects/0/47142?amount=null
851,P48174,دعم حلقات تحفيظ القرآن الكريم,"66,600ر.س",07/04/2024,222,المواطنون والمقيمون بالمملكة,"3,189",جمعية تعليم القرآن الكريم وعلومه بأشيقر,شقراء,https://ehsan.sa/projects/0/47176?amount=null
852,P47840,تفريج كرب الأسر المحتاجة,"198,000ر.س",07/04/2024,60,المقيمون بالمملكة,"7,361",نبع الخير,تربة,https://ehsan.sa/projects/0/46841?amount=null
853,P47894,وجبات إفطار الصائمين,"156,000ر.س",07/04/2024,"1,300",المقيمون بالمملكة,"11,078",الجمعية الخيرية بتمير,تمير,https://ehsan.sa/projects/0/46895?amount=null
854,P48157,دعم المقبلين على الزواج,"300,000ر.س",07/04/2024,60,المواطنون,"7,788",الجمعية الخيرية لمساعدة الشباب على الزواج والتوجيه الأسري بجدة,جدة,https://ehsan.sa/projects/0/47158?amount=null
855,P48159,رحلات العمرة للمحتاجين,"49,980ر.س",07/04/2024,245,المواطنون والمقيمون بالمملكة,"3,387",جمعية الدعوة والإرشاد وتوعية الجاليات في ظهران الجنوب,ظهران الجنوب,https://ehsan.sa/projects/0/47160?amount=null
856,P48176,السلال الرمضانية لأسر السجناء,"20,000ر.س",07/04/2024,185,المواطنون,"1,179",جمعية العون لرعاية السجناء,القريات,https://ehsan.sa/projects/0/47177?amount=null
857,P48179,عملية في العمود الفقري لمريض متعفف,"76,490ر.س",07/04/2024,1,المقيمون بالمملكة,"1,435",جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47180?amount=null
858,P48173,سقيا الماء في الحرم,"500,000ر.س",07/04/2024,"500,000",المواطنون والمقيمون بالمملكة,"46,074",جمعية التنمية الأهلية بالعوامر,مكة المكرمة,https://ehsan.sa/projects/0/47174?amount=null
859,P47839,تفريج كرب الأسر المحتاجة,"157,000ر.س",07/04/2024,157,المواطنون,"7,569",جمعية اسعاد لرعاية الأرامل  والمطلقات,الدمام,https://ehsan.sa/projects/0/46840?amount=null
860,P48160,رحلات العمرة للمحتاجين,"96,000ر.س",07/04/2024,960,المواطنون والمقيمون بالمملكة,"6,157",جمعية الدعوة والارشاد وتوعية الجاليات في مركز البجادية,البجادية,https://ehsan.sa/projects/0/47161?amount=null
861,P48148,وجبات الإفطار في ساحات الحرم المكي,"500,000ر.س",07/04/2024,"71,429",المواطنون والمقيمون بالمملكة,"28,226",جمعية إكرام عابري السبيل,مكة المكرمة,https://ehsan.sa/projects/0/47149?amount=null
862,P47854,كفالة الأرامل والمطلقات,"180,000ر.س",07/04/2024,25,المواطنون,"1,905",جمعية البر الأهلية بالسديرة,الطائف,https://ehsan.sa/projects/0/46855?amount=null
